('2017-02-03', ('22:57:00', 2))
('2017-02-04', ('09:56:00', 9))
('2017-02-04', ('16:57:00', 1))
('2017-02-04', ('17:12:00', 1))
('2017-02-05', ('16:22:00', 3))
('2017-02-07', ('22:22:00', 20))
('2017-02-08', ('06:01:00', 5))
('2017-02-11', ('19:17:00', 1))
('2017-02-13', ('14:42:00', 2))
('2017-02-13', ('16:22:00', 4))
('2017-02-14', ('08:41:00', 3))
('2017-02-15', ('15:22:00', 1))
('2017-02-15', ('16:07:00', 1))
('2017-02-15', ('20:07:00', 3))
('2017-02-16', ('23:22:00', 2))
('2017-02-17', ('11:01:00', 2))
('2017-02-17', ('11:26:00', 3))
('2017-02-17', ('14:42:00', 3))
('2017-02-17', ('15:47:00', 9))
('2017-02-17', ('16:52:00', 1))
('2017-02-17', ('17:02:00', 2))
('2017-02-18', ('18:57:00', 2))
('2017-02-19', ('08:26:00', 22))
('2017-02-19', ('11:46:00', 3))
('2017-02-19', ('12:11:00', 1))
('2017-02-20', ('19:12:00', 1))
('2017-02-20', ('22:17:00', 16))
('2017-02-21', ('08:36:00', 1))
('2017-02-21', ('22:27:00', 7))
('2017-02-22', ('08:41:00', 2))
('2017-02-22', ('09:41:00', 1))
('2017-02-22', ('22:02:00', 11))
('2017-02-22', ('23:07:00', 5))
('2017-02-23', ('06:01:00', 9))
('2017-02-23', ('07:41:00', 4))
('2017-02-24', ('08:41:00', 1))
('2017-02-24', ('16:32:00', 5))
('2017-02-25', ('19:12:00', 5))
('2017-02-25', ('19:42:00', 5))
('2017-02-27', ('18:47:00', 2))
('2017-02-27', ('22:47:00', 9))
('2017-02-28', ('19:32:00', 8))
('2017-02-28', ('23:02:00', 12))
('2017-03-01', ('21:42:00', 3))
('2017-03-01', ('22:22:00', 14))
('2017-03-04', ('10:17:00', 2))
('2017-03-04', ('11:47:00', 5))
('2017-03-04', ('18:37:00', 9))
('2017-03-04', ('20:47:00', 4))
('2017-03-06', ('22:42:00', 10))
('2017-03-08', ('22:42:00', 4))
('2017-03-09', ('06:21:00', 6))
('2017-03-09', ('16:27:00', 2))
('2017-03-09', ('16:52:00', 2))
('2017-03-10', ('06:01:00', 2))
('2017-03-10', ('08:52:00', 1))
('2017-03-10', ('09:07:00', 1))
('2017-03-12', ('18:47:00', 14))
('2017-03-12', ('20:52:00', 11))
('2017-03-13', ('08:37:00', 1))
('2017-03-13', ('19:12:00', 1))
('2017-03-13', ('19:37:00', 1))
('2017-03-14', ('08:37:00', 2))
('2017-03-14', ('08:52:00', 1))
('2017-03-14', ('09:22:00', 1))
('2017-03-14', ('12:07:00', 1))
('2017-03-14', ('22:17:00', 4))
('2017-03-14', ('22:47:00', 9))
('2017-03-15', ('15:32:00', 4))
('2017-03-16', ('18:37:00', 3))
('2017-03-16', ('19:22:00', 1))
('2017-03-16', ('21:47:00', 3))
('2017-03-16', ('22:07:00', 6))
('2017-03-16', ('22:42:00', 4))
('2017-03-16', ('23:22:00', 3))
('2017-03-17', ('11:17:00', 4))
('2017-03-17', ('13:57:00', 1))
('2017-03-17', ('14:12:00', 4))
('2017-03-18', ('18:52:00', 3))
('2017-03-18', ('20:32:00', 2))
('2017-03-20', ('18:37:00', 1))
('2017-03-20', ('19:07:00', 2))
('2017-03-20', ('19:32:00', 2))
('2017-03-20', ('22:37:00', 10))
('2017-03-21', ('22:12:00', 4))
('2017-03-21', ('22:37:00', 2))
('2017-03-22', ('20:27:00', 1))
('2017-03-22', ('23:07:00', 2))
('2017-03-23', ('11:17:00', 3))
('2017-03-23', ('19:47:00', 4))
('2017-03-23', ('21:47:00', 1))
('2017-03-23', ('22:57:00', 8))
('2017-03-24', ('08:57:00', 2))
('2017-03-24', ('14:42:00', 4))
('2017-03-24', ('19:07:00', 2))
('2017-03-25', ('19:12:00', 5))
('2017-03-25', ('19:57:00', 2))
('2017-03-26', ('14:37:00', 5))
('2017-03-26', ('15:17:00', 1))
('2017-03-26', ('15:37:00', 3))
('2017-03-26', ('22:02:00', 2))
('2017-03-26', ('22:57:00', 3))
('2017-03-26', ('23:47:00', 3))
('2017-03-27', ('06:02:00', 1))
('2017-03-28', ('22:27:00', 8))
('2017-03-30', ('12:32:00', 3))
('2017-03-31', ('12:12:00', 1))
('2017-04-01', ('15:32:00', 1))
('2017-04-04', ('15:32:00', 2))
('2017-04-04', ('20:52:00', 1))
('2017-04-05', ('08:52:00', 1))
('2017-04-05', ('09:02:00', 5))
('2017-04-05', ('18:42:00', 1))
('2017-04-06', ('22:52:00', 6))
('2017-04-07', ('08:32:00', 2))
('2017-04-07', ('13:52:00', 5))
('2017-04-07', ('20:07:00', 1))
('2017-04-07', ('20:17:00', 1))
('2017-04-07', ('20:32:00', 2))
('2017-04-08', ('11:07:00', 2))
('2017-04-09', ('15:12:00', 2))
('2017-04-09', ('19:42:00', 6))
('2017-04-10', ('08:42:00', 2))
('2017-04-10', ('19:32:00', 6))
('2017-04-11', ('08:37:00', 6))
('2017-04-11', ('22:52:00', 2))
('2017-04-12', ('08:42:00', 1))
('2017-04-13', ('08:37:00', 2))
('2017-04-13', ('11:27:00', 1))
('2017-04-14', ('09:02:00', 3))
('2017-04-14', ('12:02:00', 2))
('2017-04-14', ('15:42:00', 2))
('2017-04-15', ('09:57:00', 17))
('2017-04-15', ('11:37:00', 4))
('2017-04-15', ('12:32:00', 3))
('2017-04-18', ('09:27:00', 1))
('2017-04-18', ('21:53:00', 19))
('2017-04-19', ('08:47:00', 1))
('2017-04-19', ('14:32:00', 2))
('2017-04-20', ('08:42:00', 1))
('2017-04-20', ('08:52:00', 4))
('2017-04-23', ('19:17:00', 4))
('2017-04-24', ('08:57:00', 6))
('2017-04-24', ('21:22:00', 2))
('2017-04-25', ('19:48:00', 5))
('2017-04-26', ('22:28:00', 12))
('2017-04-27', ('09:22:00', 1))
('2017-04-27', ('22:33:00', 13))
('2017-04-28', ('14:37:00', 4))
('2017-04-28', ('16:47:00', 4))
('2017-04-28', ('17:42:00', 1))
('2017-04-28', ('18:37:00', 7))
('2017-04-28', ('19:17:00', 2))
('2017-04-28', ('19:32:00', 2))
('2017-04-28', ('19:57:00', 1))
('2017-05-02', ('08:42:00', 5))
('2017-05-03', ('08:32:00', 2))
('2017-05-03', ('15:07:00', 1))
('2017-05-03', ('19:58:00', 1))
('2017-05-04', ('16:37:00', 1))
('2017-05-05', ('08:42:00', 1))
('2017-05-05', ('18:27:00', 4))
('2017-05-05', ('21:13:00', 3))
('2017-05-07', ('12:37:00', 6))
('2017-05-09', ('08:32:00', 2))
('2017-05-09', ('08:47:00', 1))
('2017-05-09', ('09:32:00', 1))
('2017-05-10', ('19:03:00', 3))
('2017-05-11', ('09:02:00', 6))
('2017-05-11', ('18:18:00', 1))
('2017-05-11', ('18:33:00', 2))
('2017-05-11', ('19:03:00', 3))
('2017-05-12', ('15:42:00', 3))
('2017-05-13', ('13:37:00', 10))
('2017-05-13', ('19:43:00', 3))
('2017-05-16', ('08:47:00', 1))
('2017-05-17', ('08:52:00', 1))
('2017-05-17', ('10:17:00', 1))
('2017-05-18', ('08:52:00', 1))
('2017-05-18', ('10:57:00', 1))
('2017-05-20', ('13:37:00', 2))
('2017-05-20', ('14:47:00', 7))
('2017-05-20', ('15:37:00', 5))
('2017-05-20', ('16:07:00', 1))
('2017-05-20', ('16:42:00', 2))
('2017-05-20', ('16:53:00', 1))
('2017-05-20', ('19:23:00', 2))
('2017-05-21', ('15:22:00', 1))
('2017-05-23', ('08:17:00', 4))
('2017-05-23', ('09:27:00', 4))
('2017-05-24', ('08:27:00', 3))
